numero_post;url;tipo_post;titulo_o_hook;texto_resumen;imagen_url;impresiones;reacciones_totales;comentarios;compartidos;likes_loves_insightful;hashtags_principales
24;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7429124909299245056;imagen;OpenClaw: la nueva generación de agentes IA;OpenClaw y la evolución de los agentes de IA. Análisis profundo.;SI;442;;;;#IA #InteligenciaArtificial #Automatización #AgentesIA #OpenClaw;imagen_analisis_
25;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7427701766286225409;imagen;Antes: Escribir Código / Ahora: Orquestar Sistemas;La IA ya no escribe código. El ingeniero orquesta sistemas.;SI;156;;2;;#IA #InteligenciaArtificial #Automatización #Desarrollo;imagen_opinion_
26;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7427026073823043584;imagen;El rol del ingeniero ha cambiado para siempre;Lovable, Cursor, Codex. El ingeniero ahora orquesta. El cambio es radical.;SI;7547;;;;#IA #InteligenciaArtificial #Automatización #Tecnología #Desarrollo;imagen_opinion_viral_
27;https://www.linkedin.com/posts/enrique-rodriguez-vela_repost_perplexity;repost;hace 2 meses. Repost de Perplexity;Repost de Perplexity con imagen informativa.;SI;;;;;#IA #Perplexity #Tecnología;repost_info_
28;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7425214125032570880;imagen;IA sin contexto no funciona;Contexto es clave para la IA. Sin contexto, la IA no funciona bien.;SI;107;;;;#IA #InteligenciaArtificial #Automatización;imagen_opinion_
29;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7424485598075301889;imagen;Programar sin IA es como escribir a mano;La IA ha cambiado para siempre cómo programamos.;SI;283;;;;#IA #InteligenciaArtificial #Automatización #Desarrollo;imagen_opinion_
30;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7422662348567392256;imagen;Skills: De Chat -> Sistemas;Skills: De Chat a Sistemas. La evolución de competencias en IA.;SI;148;;;;#IA #InteligenciaArtificial #Automatización #SaaS;imagen_info_
31;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7421922456346533889;imagen;Clawdbot / Moltbot;Mención de Clawdbot y Moltbot.;SI;381;;;;#IA #Automatización #SaaS;imagen_presentacion_
32;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7421575167165775872;imagen;;Post con 165 impresiones.;SI;165;;;;#IA #Tecnología;imagen_info_
33;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7420133246111481856;imagen;Meta compra Manus;Meta compra Manus. La IA que viene no solo piensa, ejecuta.;SI;533;;;;#IA #InteligenciaArtificial #Automatización #Tecnología #AgenticAI;imagen_noticia_
34;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7417596446394195968;imagen;La nueva guerra tecnológica: China open source, EE.UU. control;China apuesta por el open source, EE.UU. por el control. Análisis geopolítico.;SI;1411;1;;;#IA #InteligenciaArtificial #Tecnología #OpenSource;imagen_analisis_
35;https://www.linkedin.com/posts/enrique-rodriguez-vela_repost_cfc;repost;hace 4 meses. Post con 4 reacciones;Post sobre habiendo pasado mucho tiempo hablando con IA. Resumen anual 2025->2026.;SI;199;1;;;#IA #InteligenciaArtificial #Automatización;repost_analisis_
36;https://www.linkedin.com/posts/enrique-rodriguez-vela_hackathon_goodbarber;evento;hackathon de GoodBarber en Racks House;hackathon de GoodBarber en Racks House. 5 meses atrás.;SI;;;;;#Evento #Hackathon #Tecnología #Madrid;evento_info_
37;https://www.linkedin.com/posts/enrique-rodriguez-vela_felices_fiestas;imagen;Felices Fiestas;Felices Fiestas. Post de felicitación navideña.;SI;239;;;;#FelicesFiestas;imagen_personal_
38;https://www.linkedin.com/posts/enrique-rodriguez-vela_mcp_openai;imagen;GaLMa MAmI;hace 4 meses. GaLMa MAmI con 16 reacciones, 2 comentarios, 1 compartido. Post sobre MCP.;SI;;16;2;1;#IA #MCP #OpenAI #Tecnología;imagen_noticia_
39;https://www.linkedin.com/posts/enrique-rodriguez-vela_google_ia;imagen;Google la lía;Google la lía con nueva característica de IA. Imagen de presentar.dat.;SI;;;;;#IA #Google #Tecnología;imagen_noticia_
40;https://www.linkedin.com/posts/enrique-rodriguez-vela_builderbot;imagen;BuilderBot / Merry Skillmas;BuilderBot y Merry Skillmas. 13 reacciones, 6 comentarios, 2 compartido. Evento navideño.;SI;;13;6;2;#IA #BuilderBot #Evento #Tecnología;imagen_evento_
41;https://www.linkedin.com/posts/enrique-rodriguez-vela_lovable_viral;imagen;Un post viral sobre Lovable;Post viral con 1000 reacciones, 56 comentarios, 45 compartido. El más viral de todos.;SI;;1000;56;45;#IA #Lovable #Desarrollo #Tecnología;imagen_noticia_viral_
42;https://www.linkedin.com/posts/enrique-rodriguez-vela_peter_drucker;imagen;Peter Drucker cita;Cita de Peter Drucker sobre gestión. 93 reacciones, 7 comentarios, 4 compartido.;SI;;93;7;4;#IA #Tecnología #Gestión;imagen_cita_
43;https://www.linkedin.com/posts/enrique-rodriguez-vela_devday_openai;imagen;DevDay 2025 de OpenAI;Análisis de DevDay 2025 de OpenAI. 49 reacciones, 8 compartido.;SI;;49;;8;#IA #OpenAI #DevDay #Tecnología;imagen_noticia_
44;https://www.linkedin.com/posts/enrique-rodriguez-vela_n8n_chatwoot;evento;n8n + Chatwoot con Jesús Zapata;n8n + Chatwoot. Evento con Jesús Zapata. 39 reacciones, 3 comentarios, 5 compartido.;;;39;3;5;#IA #n8n #Chatwoot #Automatización;evento_info_
45;https://www.linkedin.com/posts/enrique-rodriguez-vela_openai_o3;imagen;OpenAI marca un nuevo hito en la IA;o3, o4-mini y GPT-4.1: más razonamiento, más contexto, más posibilidades.;SI;117;4;;;#IA #OpenAI #Tecnología;imagen_noticia_
46;https://www.linkedin.com/posts/enrique-rodriguez-vela_gemma3;imagen;Ejecuta Gemma 3 27B en tu RTX 3090;Guía para ejecutar Gemma 3 27B en RTX 3090. Nueva frontera de la IA local.;SI;;;;;#IA #GoogleAI #Tecnología #LocalAI;imagen_tutorial_
47;https://www.linkedin.com/posts/enrique-rodriguez-vela_gestair;imagen;Gestair;Gestair: post con 95 reacciones, 4 comentarios, 9 compartido. Proyecto de IA en salud.;SI;;95;4;9;#IA #Salud #Tecnología #Gestair;imagen_presentacion_
48;https://www.linkedin.com/posts/enrique-rodriguez-vela_codex;imagen;Codex: el nuevo agente de programación;Análisis de Codex como nuevo agente de programación.;SI;;;;;#IA #Codex #Desarrollo #Tecnología;imagen_noticia_
49;https://www.linkedin.com/posts/enrique-rodriguez-vela_apple_ia;imagen;Apple da un paso enorme;hace 6 meses. Apple da un paso enorme en IA. 155 impresiones.;SI;155;;;;#IA #Apple #Tecnología;imagen_noticia_
50;https://www.linkedin.com/posts/enrique-rodriguez-vela_google_openai_visual;imagen;Google vs OpenAI: La batalla por el mejor IA visual;Comparativa entre Google y OpenAI para generación de imágenes.;SI;;;;;#IA #Google #OpenAI #Tecnología;imagen_comparativa_
51;https://www.linkedin.com/posts/enrique-rodriguez-vela_vibe_coding;articulo;Vibe Coding: ¿Revolución o Moda Pasajera?;Análisis de Vibe Coding. 211 impresiones, 4 reacciones, 1 compartido.;SI;211;4;;1;#IA #VibeCoding #Desarrollo #Tecnología;articulo_analisis_
52;https://www.linkedin.com/posts/enrique-rodriguez-vela_nunduseguridad;repost;Seguridad en el Desarrollo - Nundu Desarrollos;Post de Seguridad en el Desarrollo de Nundu Desarrollos. 14 reacciones, 5 comentarios, 1092 impresiones.;SI;1092;14;5;;#Desarrollo #Seguridad #Nundu;repost_tecnico_
53;https://www.linkedin.com/posts/enrique-rodriguez-vela_microfrontends;repost;¿Qué ganamos usando microfrontends todos los días?;Post de Nundu sobre Arquitectura de Microfrontends. 5 reacciones, 2 compartido.;SI;;5;;2;#Desarrollo #Microfrontends #Tecnología;repost_tecnico_
54;https://www.linkedin.com/posts/enrique-rodriguez-vela_nunduseguridad2;repost;Seguridad en el Desarrollo 2;Post de Nundu sobre Seguridad. 143 impresiones.;SI;143;;;;#Desarrollo #Seguridad;repost_tecnico_
55;https://www.linkedin.com/posts/enrique-rodriguez-vela_nunduia;repost;IA está revolucionando el mundo financiero;Post de Nundu sobre IA y finanzas. 94 impresiones, 4 reacciones, 1 compartido.;SI;94;4;;1;#IA #Finanzas #Nundu;repost_noticia_
56;https://www.linkedin.com/posts/enrique-rodriguez-vela_apagon;repost;Apagón del 28 de abril de 2025;Repost de Leifer Mendez sobre el apagón eléctrico. 16 reacciones, 3 comentarios, 3 compartido.;SI;;16;3;3;#Energía #Tecnología #España;repost_noticia_
57;https://www.linkedin.com/posts/enrique-rodriguez-vela_notebooklm;imagen;NotebookLM ahora en español;NotebookLM ya está disponible en español. 129 impresiones, 8 reacciones, 1 comentario.;SI;129;8;1;;#IA #NotebookLM #Google #Tecnología;imagen_noticia_
58;https://www.linkedin.com/posts/enrique-rodriguez-vela_privacidad;imagen;Tu privacidad en Internet está en peligro y no lo sabes;Post sobre privacidad en Internet con imagen de texto.;SI;;;;;#Privacidad #Tecnología #Seguridad;imagen_conciencia_
59;https://www.linkedin.com/posts/enrique-rodriguez-vela_ia_finanzas;imagen;Interesante artículo sobre #IA y las finanzas;Post de Nundu sobre IA y finanzas. 181 impresiones.;SI;181;;;;#IA #Finanzas #Tecnología;imagen_analisis_
60;https://www.linkedin.com/posts/enrique-rodriguez-vela_brain_retro;imagen;Imagen de cerebro retro/neon;Post con imagen de cerebro retro/neon. 8 reacciones.;SI;;8;;;#IA #Tecnología #Innovación;imagen_creativa_
